student_id,attendance,previous_marks,study_hours,assignment_score,internal_marks,completed_assignments,class_participation,extracurricular_activity,final_marks,performance_category
STD1202,83.0,75.5,5.6,59.8,66.5,5,9,No,58.8,Average
STD1203,89.5,84.6,3.4,69.5,59.5,9,8,No,72.3,Average
STD1204,89.2,78.1,2.4,76.1,63.9,9,8,No,70.8,Average
STD1205,58.8,81.9,3.4,61.8,71.8,5,5,No,67.4,Average
STD1206,64.3,57.4,4.2,60.4,49.1,8,9,Yes,57.5,Average
STD1207,82.4,48.1,3.4,56.8,55.9,5,8,Yes,55.6,Average
STD1208,82.4,89.0,1.0,64.3,68.7,7,8,Yes,80.9,High
STD1209,82.4,63.5,6.1,69.9,62.0,7,7,No,59.2,Average
STD1210,100.0,64.5,6.8,76.5,69.0,7,10,No,75.3,High
STD1211,83.1,86.6,5.7,70.5,86.6,8,10,Yes,78.9,High
STD1212,90.2,75.8,2.5,77.1,69.6,8,8,Yes,72.3,Average
STD1213,87.9,74.4,4.1,66.1,66.4,6,8,No,66.8,Average
STD1214,84.1,98.3,4.5,85.4,81.6,7,9,Yes,81.4,High
STD1215,72.1,59.0,5.6,50.1,59.4,4,10,No,60.1,Average
STD1216,85.5,81.0,5.7,62.0,69.5,5,7,No,75.9,High
STD1217,66.3,68.8,3.2,60.5,47.5,6,8,No,59.3,Average
STD1218,73.0,71.8,4.6,66.0,78.5,5,7,Yes,70.8,Average
STD1219,69.9,89.4,5.3,72.8,79.0,7,8,Yes,73.6,Average
STD1220,77.0,75.1,7.1,61.0,75.2,7,8,Yes,75.1,High
STD1221,100.0,75.5,5.8,73.5,72.0,9,10,Yes,87.1,High
STD1222,52.7,83.0,5.9,69.4,71.2,7,6,No,66.9,Average
STD1223,84.6,62.9,4.7,64.9,60.5,6,7,Yes,63.8,Average
STD1224,55.8,56.3,7.0,54.9,52.4,7,8,No,53.2,Average
STD1225,70.1,53.4,5.2,51.0,69.1,6,5,No,55.6,Average
STD1226,89.6,40.5,3.0,63.1,38.5,6,9,Yes,42.0,Low
STD1227,76.8,96.8,7.0,72.9,79.6,6,8,Yes,83.4,High
STD1228,62.5,52.6,5.8,57.1,54.9,6,6,No,51.1,Average
STD1229,67.1,64.9,3.7,70.3,69.1,8,7,No,57.4,Average
STD1230,84.5,64.1,3.6,69.5,60.8,6,6,Yes,68.9,Average
STD1231,66.9,72.3,5.0,64.0,59.6,7,7,No,58.8,Average
STD1232,78.7,79.4,5.3,68.8,79.8,7,7,Yes,74.0,Average
STD1233,76.6,80.0,4.9,80.2,78.1,8,9,Yes,83.6,High
STD1234,67.9,59.8,5.1,48.2,60.9,2,6,No,49.3,Low
STD1235,100.0,65.7,7.6,63.8,74.0,6,10,Yes,67.6,Average
STD1236,83.9,72.0,6.4,67.1,85.2,8,9,No,75.3,High
STD1237,50.7,64.5,4.8,66.0,76.2,6,5,Yes,69.5,Average
STD1238,78.3,90.5,6.2,81.6,78.3,8,9,Yes,75.2,High
STD1239,67.7,74.9,2.6,59.9,71.5,5,5,Yes,67.6,Average
STD1240,86.7,78.3,5.2,72.0,74.4,8,10,Yes,78.9,High
STD1241,66.1,77.3,7.8,63.4,78.9,6,10,Yes,65.2,Average
STD1242,74.6,84.4,4.1,69.0,61.7,6,10,No,72.3,Average
STD1243,82.3,70.5,3.0,76.2,62.6,9,8,Yes,73.7,Average
STD1244,86.8,49.8,3.3,48.4,43.7,6,9,Yes,53.3,Average
STD1245,61.0,73.6,2.5,76.6,69.2,7,4,No,70.3,Average
STD1246,71.8,58.9,3.1,65.7,62.4,7,9,Yes,67.7,Average
STD1247,70.1,60.6,3.8,68.1,46.7,7,8,No,58.0,Average
STD1248,67.8,76.2,2.0,64.4,61.6,7,6,Yes,63.4,Average
STD1249,98.1,85.3,4.5,80.3,82.3,6,10,No,75.6,High
STD1250,81.1,68.3,6.1,56.5,65.0,7,8,Yes,67.5,Average
STD1251,60.2,72.3,2.9,59.7,65.4,5,5,No,62.7,Average
STD1252,87.5,91.8,7.2,85.7,88.5,8,10,Yes,86.3,High
STD1253,100.0,71.4,5.4,84.0,73.5,10,9,Yes,69.9,Average
STD1254,88.9,99.0,6.4,78.0,84.7,8,10,Yes,92.3,High
STD1255,57.0,75.9,3.3,62.0,57.0,6,5,Yes,63.2,Average
STD1256,69.9,43.3,6.0,49.3,45.3,3,7,Yes,49.6,Low
STD1257,91.8,78.5,2.5,65.4,68.7,8,7,Yes,75.8,High
STD1258,67.2,73.3,6.1,70.6,71.5,6,9,Yes,77.4,High
STD1259,81.5,86.1,4.8,71.7,74.1,6,8,No,62.0,Average
STD1260,85.7,77.4,5.5,72.1,69.8,7,7,No,73.4,Average
STD1261,64.4,66.1,2.4,58.0,54.5,7,5,No,50.7,Average
STD1262,75.3,50.9,2.9,50.1,54.7,6,7,Yes,57.6,Average
STD1263,35.5,65.1,5.6,52.7,60.4,5,3,No,54.2,Average
STD1264,63.2,56.1,2.8,53.9,43.5,6,5,Yes,55.4,Average
STD1265,72.8,59.9,5.3,57.5,64.7,5,10,No,58.8,Average
STD1266,60.4,76.2,2.0,60.4,59.9,6,5,Yes,54.7,Average
STD1267,96.4,91.4,6.0,86.6,83.7,9,10,Yes,85.5,High
STD1268,58.1,73.5,2.3,76.1,73.1,9,5,No,68.0,Average
STD1269,70.5,51.3,5.5,56.0,55.9,7,7,Yes,62.7,Average
STD1270,77.6,74.2,5.6,77.0,73.8,8,9,No,67.5,Average
STD1271,94.0,84.8,3.2,69.5,63.0,7,10,No,76.2,High
STD1272,58.1,59.5,5.5,57.1,59.2,6,6,Yes,56.7,Average
STD1273,90.5,66.1,5.0,60.5,66.7,6,8,Yes,69.8,Average
STD1274,76.1,68.2,3.5,54.8,50.2,4,9,Yes,58.2,Average
STD1275,63.7,57.0,2.7,50.7,52.3,5,6,No,52.6,Average
STD1276,81.8,77.1,1.0,81.2,63.8,8,9,Yes,75.2,High
STD1277,78.5,66.3,5.1,72.6,66.2,8,6,No,61.5,Average
STD1278,68.5,73.9,1.7,68.6,66.9,7,7,No,61.5,Average
STD1279,76.9,55.6,4.7,47.6,56.5,4,10,Yes,58.9,Average
STD1280,71.2,61.9,4.0,59.5,67.4,6,7,Yes,73.6,Average
STD1281,77.4,78.1,5.7,73.9,67.6,8,8,No,67.6,Average
STD1282,84.3,62.8,4.0,66.4,61.0,7,9,Yes,74.7,Average
STD1283,95.8,92.2,3.9,70.7,76.1,8,9,No,86.7,High
STD1284,60.5,62.4,5.8,51.6,55.1,6,7,Yes,58.6,Average
STD1285,100.0,71.1,5.1,73.6,74.3,7,10,Yes,74.9,Average
STD1286,51.6,81.1,5.1,70.1,86.7,6,5,No,67.5,Average
STD1287,74.1,48.1,5.3,37.8,50.3,3,9,No,49.4,Low
STD1288,83.4,43.3,1.7,53.0,45.5,6,8,Yes,46.3,Low
STD1289,79.5,46.6,5.9,56.0,55.1,7,9,Yes,58.6,Average
STD1290,68.2,85.7,5.6,79.6,73.9,8,9,No,81.1,High
STD1291,73.4,60.3,2.7,65.9,44.8,6,7,Yes,55.6,Average
STD1292,69.8,99.0,4.1,85.4,78.1,10,6,Yes,81.3,High
STD1293,68.6,60.1,4.4,53.3,49.0,6,6,No,47.5,Low
STD1294,86.6,70.6,4.3,55.8,72.9,6,9,Yes,70.9,Average
STD1295,80.5,89.6,5.1,75.9,77.5,6,7,Yes,79.8,High
STD1296,67.3,96.1,7.1,86.2,86.2,9,7,Yes,85.4,High
STD1297,87.2,96.9,6.4,95.2,94.3,9,9,No,88.3,High
STD1298,79.8,84.9,2.1,81.4,63.1,7,10,No,70.2,Average
STD1299,86.2,82.3,5.6,79.6,72.0,8,6,Yes,79.8,High
STD1300,83.9,76.3,6.9,75.3,76.2,7,9,Yes,77.0,High
STD1301,65.6,78.9,5.2,64.6,77.0,6,9,Yes,73.3,Average
STD1302,69.0,60.3,6.5,58.5,66.4,4,8,No,61.8,Average
STD1303,85.3,56.5,8.1,74.5,70.2,8,10,Yes,76.4,High
STD1304,83.6,68.0,6.3,60.7,67.8,7,9,No,70.1,Average
STD1305,75.7,65.6,4.9,76.4,68.4,6,7,Yes,69.9,Average
STD1306,77.5,61.7,6.4,60.2,65.4,7,6,No,69.6,Average
STD1307,92.0,77.7,4.8,85.5,67.2,8,9,Yes,79.0,High
STD1308,68.6,81.4,4.5,60.4,69.9,7,6,No,72.9,Average
STD1309,82.8,69.2,3.9,72.7,58.0,7,7,Yes,70.1,Average
STD1310,73.5,88.7,7.3,70.8,82.5,7,8,Yes,72.1,Average
STD1311,73.3,52.0,3.0,45.5,45.5,4,9,No,55.2,Average
STD1312,89.7,65.3,7.3,69.7,85.2,8,10,No,74.9,Average
STD1313,86.3,58.0,5.4,70.6,61.8,6,9,Yes,66.4,Average
STD1314,86.2,41.9,2.0,47.8,32.8,5,7,No,46.5,Low
STD1315,92.3,66.8,5.2,58.4,62.7,7,8,Yes,66.5,Average
STD1316,76.3,66.3,1.0,64.1,57.5,7,7,No,60.7,Average
STD1317,84.5,89.2,5.6,79.1,89.9,10,10,Yes,82.9,High
STD1318,72.1,76.8,6.1,73.6,70.2,7,8,Yes,78.4,High
STD1319,80.1,53.7,3.4,66.1,44.8,8,5,No,55.1,Average
STD1320,74.4,94.0,4.7,79.1,85.0,8,9,Yes,80.8,High
STD1321,77.2,85.1,8.0,89.3,77.4,10,10,No,77.3,High
STD1322,83.4,76.1,3.6,73.9,64.9,7,6,Yes,72.2,Average
STD1323,65.8,64.8,2.6,58.5,54.8,5,7,Yes,59.8,Average
STD1324,100.0,54.6,7.2,52.9,60.7,7,10,Yes,67.6,Average
STD1325,63.4,62.8,8.0,57.3,72.3,5,8,No,59.2,Average
STD1326,60.8,83.2,4.5,67.3,67.8,5,6,Yes,62.5,Average
STD1327,90.5,94.4,6.3,91.4,85.0,9,10,Yes,91.4,High
STD1328,85.9,89.6,6.9,83.8,84.1,9,9,No,89.1,High
STD1329,83.8,61.2,3.2,55.3,56.1,7,6,Yes,56.9,Average
STD1330,83.9,52.3,3.6,60.6,53.6,6,6,No,63.1,Average
STD1331,75.8,70.0,6.7,71.8,74.1,8,10,No,72.3,Average
STD1332,64.8,43.2,7.5,60.4,62.8,5,9,Yes,58.9,Average
STD1333,76.9,72.5,5.5,75.1,72.9,7,8,No,68.9,Average
STD1334,67.5,65.9,2.9,67.9,62.3,6,6,No,55.1,Average
STD1335,88.2,61.5,8.1,66.0,59.8,6,9,Yes,72.5,Average
STD1336,74.2,45.7,3.5,55.8,48.8,6,6,No,47.9,Low
STD1337,65.7,75.2,3.9,76.1,71.0,8,6,No,65.0,Average
STD1338,72.0,60.5,5.1,50.5,63.0,5,5,No,62.1,Average
STD1339,81.2,51.6,7.3,55.5,56.3,6,8,No,50.7,Average
STD1340,69.0,30.0,6.0,37.0,38.9,4,7,Yes,37.5,Low
STD1341,65.7,67.6,5.2,65.4,62.0,6,8,Yes,65.1,Average
STD1342,79.0,92.8,5.3,89.4,86.3,9,8,Yes,86.7,High
STD1343,79.1,91.3,4.6,74.9,83.8,7,9,Yes,82.8,High
STD1344,69.7,61.6,5.5,42.5,56.1,4,9,Yes,56.8,Average
STD1345,70.1,59.6,1.0,56.3,54.9,6,7,No,65.2,Average
STD1346,78.9,74.6,4.0,77.0,68.9,8,8,No,69.2,Average
STD1347,57.9,54.0,4.9,57.0,55.5,5,6,No,52.6,Average
STD1348,58.4,72.2,2.4,66.3,59.9,8,4,No,57.2,Average
STD1349,67.0,78.7,5.2,67.0,75.7,6,8,No,70.0,Average
STD1350,73.3,85.2,4.1,64.8,73.4,6,10,Yes,76.1,High
STD1351,79.9,66.6,7.7,69.9,85.3,10,10,No,79.5,High
STD1352,94.4,65.1,7.3,63.0,63.7,5,10,Yes,63.7,Average
STD1353,86.7,55.7,3.7,78.3,61.4,6,7,No,62.1,Average
STD1354,74.0,56.4,4.2,63.0,53.8,7,6,No,59.4,Average
STD1355,75.8,64.8,4.4,59.5,55.6,4,9,Yes,64.5,Average
STD1356,63.5,73.1,3.7,60.4,63.4,6,7,No,62.1,Average
